图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,airport_inside-预测置信度,artstudio-预测置信度,auditorium-预测置信度,bakery-预测置信度,bar-预测置信度,bathroom-预测置信度,bedroom-预测置信度,bookstore-预测置信度,bowling-预测置信度,buffet-预测置信度,casino-预测置信度,children_room-预测置信度,church_inside-预测置信度,classroom-预测置信度,cloister-预测置信度,closet-预测置信度,clothingstore-预测置信度,computerroom-预测置信度,concert_hall-预测置信度,corridor-预测置信度,deli-预测置信度,dentaloffice-预测置信度,dining_room-预测置信度,elevator-预测置信度,fastfood_restaurant-预测置信度,florist-预测置信度,gameroom-预测置信度,garage-预测置信度,greenhouse-预测置信度,grocerystore-预测置信度,gym-预测置信度,hairsalon-预测置信度,hospitalroom-预测置信度,inside_bus-预测置信度,inside_subway-预测置信度,jewelleryshop-预测置信度,kindergarden-预测置信度,kitchen-预测置信度,laboratorywet-预测置信度,laundromat-预测置信度,library-预测置信度,livingroom-预测置信度,lobby-预测置信度,locker_room-预测置信度,mall-预测置信度,meeting_room-预测置信度,movietheater-预测置信度,museum-预测置信度,nursery-预测置信度,office-预测置信度,operating_room-预测置信度,pantry-预测置信度,poolinside-预测置信度,prisoncell-预测置信度,restaurant-预测置信度,restaurant_kitchen-预测置信度,shoeshop-预测置信度,stairscase-预测置信度,studiomusic-预测置信度,subway-预测置信度,toystore-预测置信度,trainstation-预测置信度,tv_studio-预测置信度,videostore-预测置信度,waitingroom-预测置信度,warehouse-预测置信度,winecellar-预测置信度
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0044.jpg,0,airport_inside,0,airport_inside,61,trainstation,44,mall,True,0.5253947,0.0019033125,0.0012476944,0.0011729636,0.0015322568,4.3177592e-06,5.528228e-07,0.0040175403,0.0026688573,0.0001430462,0.025008231,2.4466788e-05,0.00035461687,5.2177224e-06,0.0015810165,3.888786e-07,0.0008086463,0.0023326324,0.0010985985,4.933668e-05,0.04815877,1.3490188e-05,1.5788e-05,0.0008827167,0.010816019,0.0015999734,1.4425084e-05,0.0012958513,0.04135155,0.02182172,0.004468822,0.00014129622,1.45527465e-05,1.5990916e-05,0.0016432572,0.0009347954,0.00041742178,2.2744565e-05,0.0017171431,0.0005544367,0.002664656,7.3601936e-05,0.01369554,5.4461693e-06,0.09833405,8.1277685e-05,0.00079194456,0.015707528,4.173061e-05,0.00062026375,3.3188087e-05,2.010592e-05,0.0029422683,0.0017873078,0.0043611154,0.00015184018,0.004527315,0.0009132158,0.0005248801,0.010676804,0.009709185,0.1217169,5.432296e-05,0.0005263237,0.00081659906,0.003858071,0.00011540579
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0062.jpg,0,airport_inside,0,airport_inside,61,trainstation,49,office,True,0.8046098,0.00029524227,0.0002909961,0.00029140434,0.0002526786,6.189233e-05,4.9643415e-07,0.00061059924,0.00043356887,0.00043834595,0.00086782646,7.799924e-06,0.0009395208,0.00017089723,0.0023944052,1.6166503e-05,0.00052976975,0.0017357,0.00049263414,0.0016539501,0.0012106859,0.0006583704,0.00013317222,0.009207959,0.00038126382,0.00088730064,1.920631e-05,0.0001945293,0.00080919947,0.00026583576,0.00015379628,0.000104918865,0.00045218546,0.00010925016,0.0010614737,0.002372629,7.828731e-05,3.0350753e-05,0.0030021688,0.0005466333,0.0013647438,8.7021115e-05,0.029558681,0.00036445248,0.006626857,0.0072826366,0.0022098173,0.004604188,1.4659349e-05,0.031887915,4.2437852e-05,3.0612464e-05,0.00046586533,0.00033952374,0.0001340619,0.0001817714,0.0045473287,0.0049562864,0.00018861511,0.0031425932,0.0002939768,0.041936662,0.00036390027,0.002280095,0.01795946,0.001282354,8.054849e-05
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0088.jpg,0,airport_inside,0,airport_inside,64,waitingroom,61,trainstation,True,0.9894952,5.6613376e-06,1.5219551e-06,2.2877753e-06,5.2274295e-06,9.784088e-06,6.9038174e-07,8.744727e-06,3.761406e-05,4.8016806e-05,7.115806e-05,6.03802e-06,1.9330104e-05,1.4648216e-06,4.301113e-05,1.2487889e-06,3.5767262e-06,5.8616224e-06,4.0863156e-06,0.00034648608,6.62045e-05,6.800226e-07,2.4841564e-05,0.00027536272,5.871576e-06,9.8294195e-06,2.6020343e-06,2.6469124e-06,3.944723e-06,1.0401671e-06,2.631385e-05,1.5358022e-06,0.00013774406,1.182348e-05,2.224555e-05,8.268353e-07,4.9127298e-06,7.2353106e-07,3.7553864e-06,0.00021806054,5.5330097e-06,2.8764935e-05,0.0005459128,1.8637116e-05,0.000100026766,0.00012250415,6.653846e-05,8.335627e-05,1.5849738e-06,3.8865765e-05,2.0779025e-06,6.1342837e-07,0.00010795274,9.384089e-05,1.1811022e-06,6.6041684e-07,4.5028184e-05,0.00039921782,6.204891e-06,4.1780073e-05,2.2766862e-06,0.0031051603,3.8848843e-06,3.305284e-05,0.0042056353,1.5543252e-06,1.8783109e-07
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0095.jpg,0,airport_inside,0,airport_inside,64,waitingroom,20,deli,True,0.8748514,0.00020353902,4.955564e-05,0.00013153053,0.0031639813,3.0593972e-05,1.2462838e-06,0.00017296289,3.1919088e-05,0.00019204896,0.0004570919,4.5985867e-06,1.7765837e-05,2.6608452e-05,0.00043525762,9.320326e-06,0.00020348196,5.8618563e-05,5.1763276e-05,2.1902048e-05,0.008145379,0.0010841308,2.2766471e-05,0.0005561193,0.0002257131,0.0014005313,1.911261e-06,2.5718186e-06,1.2510548e-05,7.5430566e-05,3.4169385e-05,3.396111e-05,8.807464e-05,1.1789302e-05,1.1910459e-05,0.00014043877,6.863199e-05,8.037106e-06,0.0003022605,0.00010197038,0.00020776656,6.753731e-06,0.0013571567,8.9382476e-05,0.0012201329,0.00025933326,0.00010838862,0.0033685737,1.3784681e-05,0.0033651125,3.22165e-05,2.6453768e-06,1.3442521e-05,5.932029e-05,0.00018224286,3.06864e-05,0.0005370001,0.0011267202,1.4901774e-06,0.00010192857,4.7239988e-05,0.0041283965,0.00021739681,6.679847e-05,0.0909996,7.53528e-06,5.2930473e-06
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0140.jpg,0,airport_inside,0,airport_inside,44,mall,61,trainstation,True,0.98391277,1.2091113e-05,9.764839e-07,1.3277026e-06,3.2116102e-05,3.068834e-08,1.0245912e-08,5.79659e-06,1.08890035e-05,1.2455144e-05,6.78324e-05,2.1565491e-07,6.395728e-07,2.4042391e-08,2.2490594e-05,9.794711e-09,7.758041e-06,3.1531868e-06,1.31018805e-05,3.2091712e-06,8.820611e-05,3.238204e-07,1.8460636e-07,1.0631268e-06,4.7442885e-05,1.5677136e-06,2.7314374e-07,3.2970038e-06,7.2928895e-05,1.6472744e-05,2.2156019e-05,5.195056e-07,2.1016012e-06,3.7728142e-07,3.6706062e-06,4.507725e-06,8.796299e-07,3.2042443e-08,5.6897293e-06,7.74521e-07,1.1128449e-05,5.5843593e-06,0.0006082015,1.6310429e-08,0.010903943,6.6910648e-06,9.927209e-06,0.00024599634,4.6857477e-07,1.5241658e-05,8.0303714e-08,1.5131594e-08,0.00013205364,3.02658e-06,8.603148e-06,1.5472601e-07,1.9785515e-05,0.0008985104,1.7256417e-06,0.000198027,1.8020997e-05,0.0024734915,9.687517e-07,1.3940596e-06,5.293242e-05,4.525592e-06,1.0771044e-07
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0152.jpg,0,airport_inside,0,airport_inside,61,trainstation,59,subway,True,0.8628524,0.00010496061,1.0530856e-05,7.629477e-06,0.0001615289,1.6730098e-06,3.6993377e-08,0.00010049779,6.0850787e-05,1.7983155e-05,0.00024436164,4.561542e-08,1.0560646e-05,5.6878474e-07,0.0003150078,3.6475407e-07,2.648192e-05,5.2029183e-05,0.00010076958,0.00016169535,0.00025728781,2.1546994e-06,1.280894e-06,0.00010213863,2.0293726e-05,6.82162e-06,2.0283383e-06,0.00016065322,0.0006576795,0.00011940828,8.208322e-05,4.2314855e-06,7.230942e-06,6.4140418e-06,0.0008593101,2.5357122e-05,2.8242314e-06,1.38828e-06,4.4156004e-05,9.869615e-06,0.00035454525,6.9844164e-06,0.0026730965,1.2506639e-06,0.0064365403,3.637051e-05,2.8445302e-05,0.003752389,3.088624e-07,0.00018150793,1.5436923e-06,1.0711674e-06,0.00047875184,1.9326826e-05,1.2195742e-05,1.1298818e-06,0.0005671866,0.0016522491,2.0424239e-05,0.012760051,2.1045198e-05,0.1041376,5.1698853e-06,4.050144e-05,0.00012297097,7.712873e-05,7.574416e-06
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0165.jpg,0,airport_inside,0,airport_inside,23,elevator,61,trainstation,True,0.59214175,0.00023559395,0.00032060672,4.5395187e-05,0.0006948585,6.6687295e-05,6.7486883e-07,7.091693e-05,0.0014641294,0.00030797892,0.0016107911,6.6099983e-06,0.0024044248,6.520022e-05,0.0007747996,1.5151837e-05,0.00025168026,0.00073523656,0.0013774988,0.005024421,0.0015060172,2.3585484e-05,0.00012899245,0.24207585,0.00041816363,8.487277e-06,7.4437565e-05,0.0020381114,0.00023878017,5.367404e-05,0.0007213762,3.3188433e-05,0.0011531078,5.124735e-05,0.0058725523,0.0002826761,2.483824e-05,1.2911953e-05,0.0008845114,0.00014913468,0.0001276792,4.0660834e-05,0.006325096,0.0012864216,0.005790457,0.0034337041,0.001408523,0.028518757,1.860874e-06,0.0006270725,8.277148e-05,9.83647e-06,0.00017893498,0.0153016625,0.00019208128,5.5637014e-05,0.0015459274,0.00095153035,0.0002700408,0.0046384702,0.000121600904,0.031232478,0.0009945872,0.0018911641,0.02832863,0.003095007,0.0001833307
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0275.jpg,0,airport_inside,0,airport_inside,61,trainstation,44,mall,True,0.98440707,1.4898629e-06,9.740847e-07,1.6245874e-06,1.9825378e-05,9.4807905e-07,4.6822977e-09,5.965934e-06,3.809556e-06,6.510123e-06,3.0088297e-05,3.5584748e-07,8.6408494e-07,7.1639356e-08,4.5687298e-06,3.2243182e-08,1.1510259e-05,3.053217e-05,2.4999848e-05,1.6567506e-05,1.726778e-05,6.54922e-07,1.9680027e-07,2.107191e-05,1.7185308e-05,1.9344868e-06,6.920601e-07,1.1253543e-06,4.2554916e-06,1.1279389e-05,1.0461477e-05,6.7343217e-07,4.4865496e-06,6.533929e-07,1.1310131e-05,1.7251639e-06,1.7066545e-06,2.4000263e-07,1.2482478e-05,3.5838148e-06,1.3215293e-05,8.3045e-07,0.0005555917,2.7825067e-06,0.0009515851,1.4271297e-05,6.9215025e-06,0.0001396461,5.1156466e-08,1.02802705e-05,2.3678186e-07,4.1102865e-08,2.5905238e-06,4.4394994e-05,1.4522558e-06,7.406334e-07,2.7019632e-05,6.962114e-05,2.1354849e-07,0.000108148124,6.269938e-06,0.012851644,1.6121002e-06,7.665029e-06,0.0004893475,2.517e-06,3.745188e-07
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0290.jpg,0,airport_inside,39,laundromat,0,airport_inside,56,shoeshop,True,0.17894982,0.0001944952,5.6826106e-05,0.00195968,0.012102179,0.0004473728,0.00040914488,0.0010977974,0.0012452209,0.0034459382,0.026447207,4.7761285e-05,7.244848e-05,1.4694426e-05,0.00011172945,4.5682576e-05,0.0041908654,0.0005992405,0.0001499043,9.847572e-05,0.008694506,0.0022366508,2.606452e-05,0.0069993567,0.01679856,0.0029296384,7.457551e-05,0.0010603245,0.0020375273,0.009386346,0.0033881234,0.0066416496,0.0019528407,0.0011990097,0.015503122,0.0071851034,0.00032217035,0.00025526102,0.0009711153,0.25025544,0.00021171854,0.00017866,0.0014565189,0.0007596335,0.065537795,2.8527345e-05,0.0018068232,0.005475091,8.3549996e-05,0.00025569517,6.067168e-05,4.5788347e-05,0.001032862,0.024300495,0.0063537736,0.0009971624,0.109324545,0.0045916825,0.0002844098,0.07762317,0.0074855178,0.100644015,0.001484122,0.011826231,0.0077582286,0.0007737919,1.563031e-05
<DATA_ROOT>/dataset/test/airport_inside/airport_inside_0306.jpg,0,airport_inside,0,airport_inside,64,waitingroom,61,trainstation,True,0.95986634,1.5577143e-05,2.0047299e-05,4.505554e-06,7.5651515e-05,2.1092712e-06,6.777106e-08,6.8917784e-06,0.0001254605,4.028993e-06,3.9923107e-05,1.0548896e-06,1.9564936e-06,3.1549941e-06,0.0003704684,1.9293313e-07,9.657284e-06,7.043431e-05,1.3664032e-05,0.002354253,0.000111003545,9.830543e-07,9.2249763e-07,2.664014e-05,2.9168676e-05,3.787761e-05,8.383107e-06,8.388374e-05,1.641876e-05,0.00010958358,6.248256e-05,2.0604955e-05,9.429306e-05,2.5930553e-06,9.590427e-05,1.9990883e-05,1.2305588e-05,1.7796401e-06,4.90822e-05,6.827522e-05,2.592624e-05,3.0496969e-05,0.002594395,1.1411838e-05,0.000261824,0.00017825142,1.905547e-05,0.00012926245,5.9620565e-06,0.00015456828,1.2940762e-06,4.4290715e-07,5.3119576e-05,1.892132e-05,1.0489223e-05,1.2457608e-06,7.982394e-05,0.00070295704,7.0207266e-06,0.0027800475,4.1314997e-05,0.012704708,4.056873e-06,2.7612581e-05,0.0162728,4.3635628e-05,1.6168627e-06
